governorate,bank,date,gender,sale_type,count
Al Dahle'e,Azal,2025-05-15,male,credit_sales,0.0
Al Dahle'e,Azal,2025-05-15,male,first_borrowers_only,0.0
Al Dahle'e,KIMB,2025-05-15,female,cash_sales,266.0
Al Dahle'e,KIMB,2025-05-15,female,credit_sales,
Al Dahle'e,KIMB,2025-05-15,female,first_borrowers_only,
Al Dahle'e,KIMB,2025-05-15,male,cash_sales,468.0
Al Dahle'e,KIMB,2025-05-15,male,credit_sales,0.0
Al Dahle'e,KIMB,2025-05-15,male,first_borrowers_only,0.0
Al Dahle'e,NMF,2025-05-15,female,cash_sales,248.0
Al Dahle'e,NMF,2025-05-15,female,credit_sales,0.0
Al Dahle'e,NMF,2025-05-15,female,first_borrowers_only,0.0
Al Dahle'e,NMF,2025-05-15,male,cash_sales,381.0
Al Dahle'e,NMF,2025-05-15,male,credit_sales,0.0
Al Dahle'e,NMF,2025-05-15,male,first_borrowers_only,0.0
Al Dahle'e,TIIB,2025-05-15,female,cash_sales,0.0
Al Dahle'e,TIIB,2025-05-15,female,credit_sales,0.0
Al Dahle'e,TIIB,2025-05-15,female,first_borrowers_only,0.0
Al Dahle'e,TIIB,2025-05-15,male,cash_sales,0.0
Al Dahle'e,TIIB,2025-05-15,male,credit_sales,0.0
Al Dahle'e,TIIB,2025-05-15,male,first_borrowers_only,0.0
Al Dahle'e,YKB,2025-05-15,female,cash_sales,0.0
Al Dahle'e,YKB,2025-05-15,female,credit_sales,0.0
Al Dahle'e,YKB,2025-05-15,female,first_borrowers_only,0.0
Al Dahle'e,YKB,2025-05-15,male,cash_sales,5.0
Al Dahle'e,YKB,2025-05-15,male,credit_sales,0.0
Al Dahle'e,YKB,2025-05-15,male,first_borrowers_only,0.0
Al Hudaydah,AMB,2025-05-15,female,cash_sales,527.0
Al Hudaydah,AMB,2025-05-15,female,credit_sales,0.0
Al Hudaydah,AMB,2025-05-15,female,first_borrowers_only,0.0
Al Hudaydah,AMB,2025-05-15,male,cash_sales,2735.0
Al Hudaydah,AMB,2025-05-15,male,credit_sales,0.0
Al Hudaydah,AMB,2025-05-15,male,first_borrowers_only,0.0
Al Hudaydah,AMP,2025-05-15,female,cash_sales,0.0
Al Hudaydah,AMP,2025-05-15,female,credit_sales,0.0
Al Hudaydah,AMP,2025-05-15,female,first_borrowers_only,0.0
Al Hudaydah,AMP,2025-05-15,male,cash_sales,0.0
Al Hudaydah,AMP,2025-05-15,male,credit_sales,0.0
Al Hudaydah,AMP,2025-05-15,male,first_borrowers_only,0.0
Al Hudaydah,Azal,2025-05-15,female,cash_sales,22.0
Al Hudaydah,Azal,2025-05-15,female,credit_sales,36.0
Al Hudaydah,Azal,2025-05-15,female,first_borrowers_only,0.0
Al Hudaydah,Azal,2025-05-15,male,cash_sales,474.0
Al Hudaydah,Azal,2025-05-15,male,credit_sales,16.0
Al Hudaydah,Azal,2025-05-15,male,first_borrowers_only,0.0
Al Hudaydah,KIMB,2025-05-15,female,cash_sales,30.0
Al Hudaydah,KIMB,2025-05-15,female,credit_sales,
Al Hudaydah,KIMB,2025-05-15,female,first_borrowers_only,
Al Hudaydah,KIMB,2025-05-15,male,cash_sales,292.0
Al Hudaydah,KIMB,2025-05-15,male,credit_sales,0.0
Al Hudaydah,KIMB,2025-05-15,male,first_borrowers_only,0.0
Al Hudaydah,NMF,2025-05-15,female,cash_sales,233.0
Al Hudaydah,NMF,2025-05-15,female,credit_sales,0.0
Al Hudaydah,NMF,2025-05-15,female,first_borrowers_only,0.0
Al Hudaydah,NMF,2025-05-15,male,cash_sales,502.0
Al Hudaydah,NMF,2025-05-15,male,credit_sales,0.0
Al Hudaydah,NMF,2025-05-15,male,first_borrowers_only,0.0
Al Hudaydah,TIIB,2025-05-15,female,cash_sales,0.0
Al Hudaydah,TIIB,2025-05-15,female,credit_sales,0.0
Al Hudaydah,TIIB,2025-05-15,female,first_borrowers_only,0.0
Al Hudaydah,TIIB,2025-05-15,male,cash_sales,0.0
Al Hudaydah,TIIB,2025-05-15,male,credit_sales,0.0
Al Hudaydah,TIIB,2025-05-15,male,first_borrowers_only,0.0
Al Hudaydah,YKB,2025-05-15,female,cash_sales,4.0
Al Hudaydah,YKB,2025-05-15,female,credit_sales,2947.0
Al Hudaydah,YKB,2025-05-15,female,first_borrowers_only,0.0
Al Hudaydah,YKB,2025-05-15,male,cash_sales,10.0
Al Hudaydah,YKB,2025-05-15,male,credit_sales,13.0
Al Hudaydah,YKB,2025-05-15,male,first_borrowers_only,0.0
Al Jawf,AMB,2025-05-15,female,cash_sales,0.0
Al Jawf,AMB,2025-05-15,female,credit_sales,0.0
Al Jawf,AMB,2025-05-15,female,first_borrowers_only,0.0
